,City,Rating,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two
21025,New Delhi,3.4,491,1,Yes,No,350
21026,New Delhi,4.1,1821,4,Yes,Yes,2000
21027,New Delhi,4.4,1636,3,No,No,1300
21028,New Delhi,4.3,3530,2,No,No,800
21029,New Delhi,4.2,1526,2,No,Yes,700
21030,New Delhi,4.1,501,4,No,Yes,2000
21031,New Delhi,3.9,303,2,Yes,Yes,800
21032,New Delhi,3.7,984,4,Yes,Yes,2500
21033,New Delhi,4.4,609,4,No,Yes,2500
21034,Gurgaon,4.4,146,3,No,Yes,1200
21035,New Delhi,3.9,2589,4,No,No,2200
21036,New Delhi,3.9,2639,3,Yes,Yes,1100
21037,New Delhi,4.4,2826,4,No,No,6500
21038,New Delhi,4.1,826,3,Yes,Yes,1400
21039,New Delhi,4.1,1653,3,No,No,1000
21040,Gurgaon,3.8,1317,3,No,Yes,1500
21041,New Delhi,4.1,1384,2,Yes,Yes,700
21042,New Delhi,4.4,2777,3,No,No,1500
21043,New Delhi,4.3,3986,2,No,No,600
21044,New Delhi,4.1,3164,3,No,No,1600
21045,New Delhi,4.1,2514,3,No,No,1500
21046,Phillip Island,3.7,351,2,No,No,20
21047,Consort,3.0,6,2,No,No,25
21048,Santa Rosa,3.6,29,3,No,No,800
21049,Ahmedabad,4.4,317,2,Yes,No,600
21050,Amritsar,4.1,878,2,No,No,500
21051,Penola,3.4,19,2,No,No,20
21052,Bandung,4.2,22,3,No,No,150000
21053,Beechworth,4.6,237,2,No,No,20
21054,Chatham-Kent,3.7,176,2,No,No,25
21055,Paynesville,2.6,16,4,No,No,120
21056,Miller,3.4,11,1,No,No,0
21057,East Ballina,4.1,56,2,No,No,20
21058,Lincoln,4.5,799,2,No,No,25
21059,Montville,2.4,193,3,No,No,30
21060,Flaxton,3.5,37,3,No,No,30
21061,Lakeview,3.6,41,1,No,No,10
21062,Santa Rosa,4.0,72,3,No,No,850
21063,Balingup,3.2,21,2,No,No,20
21064,Pune,4.8,2510,3,No,No,1000
21065,Palm Cove,4.4,381,3,No,No,30
21066,New Delhi,3.0,8,1,No,No,150
21067,New Delhi,0,2,1,No,No,300
21068,New Delhi,3.1,4,1,Yes,No,250
21069,New Delhi,3.0,4,1,No,No,150
21070,New Delhi,0,0,1,No,No,250
21071,New Delhi,0,2,2,No,No,500
21072,New Delhi,0,3,1,No,No,300
21073,New Delhi,0,3,1,No,No,400
21074,New Delhi,0,0,3,No,No,1000
21075,New Delhi,0,1,1,No,No,200
21076,New Delhi,0,1,2,No,No,500
21077,New Delhi,0,0,1,No,No,250
21078,New Delhi,0,0,1,No,No,100
21079,New Delhi,0,1,1,No,No,200
